Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2017-05-05T04:00:00Z,CM,62.700057486,357,Market On Open,Filled,22383.920522502, 
2017-05-10T04:00:00Z,BMO,54.804259669,411,Market On Open,Filled,22524.550723959,Liquidated 
2017-05-10T04:00:00Z,CM,63.252022779,-357,Market On Open,Filled,-22580.972132103,Liquidated 
2017-05-13T04:00:00Z,BBT,0,-427,Market On Open,Canceled,0,Liquidated 
2017-05-13T04:00:00Z,STI,0,559,Market On Open,Canceled,0,Liquidated 
2017-05-15T04:00:00Z,BBT,39.884508048,-427,Market On Open,Filled,-17030.684936496,Liquidated 
2017-05-15T04:00:00Z,STI,52.41538641,559,Market On Open,Filled,29300.20100319,Liquidated 
2017-05-24T04:00:00Z,BMO,54.0908871,-407,Market On Open,Filled,-22014.9910497, 
2017-05-24T04:00:00Z,CM,63.372015234,354,Market On Open,Filled,22433.693392836, 
2017-05-25T04:00:00Z,BMO,53.918423402,407,Market On Open,Filled,21944.798324614,Liquidated 
2017-05-25T04:00:00Z,CM,63.779989581,-354,Market On Open,Filled,-22578.116311674,Liquidated 
2017-06-30T04:00:00Z,BMO,57.85373142,-390,Market On Open,Filled,-22562.9552538, 
2017-06-30T04:00:00Z,CM,66.13583954,340,Market On Open,Filled,22486.1854436, 
2017-07-04T04:00:00Z,BMO,57.791017348,390,Market On Open,Filled,22538.49676572,Liquidated 
2017-07-04T04:00:00Z,CM,66.17631435,-340,Market On Open,Filled,-22499.946879,Liquidated 
2017-07-11T04:00:00Z,BMO,58.292729924,-386,Market On Open,Filled,-22500.993750664, 
2017-07-11T04:00:00Z,CM,66.718676804,338,Market On Open,Filled,22550.912759752, 
2017-07-13T04:00:00Z,BMO,59.65676099,386,Market On Open,Filled,23027.50974214,Liquidated 
2017-07-13T04:00:00Z,CM,68.394333938,-338,Market On Open,Filled,-23117.284871044,Liquidated 
2017-07-25T04:00:00Z,QQQ,139.172625289,-414,Market On Open,Filled,-57617.466869646, 
2017-07-25T04:00:00Z,XLK,54.118212905,160,Market On Open,Filled,8658.9140648, 
2017-07-26T04:00:00Z,XLK,54.476299635,-160,Market On Open,Filled,-8716.2079416,Liquidated 
2017-07-26T04:00:00Z,QQQ,139.625956316,414,Market On Open,Filled,57805.145914824,Liquidated 
2017-09-07T04:00:00Z,CM,69.810952288,-389,Market On Open,Filled,-27156.460440032, 
2017-09-07T04:00:00Z,BMO,57.797928416,322,Market On Open,Filled,18610.932949952, 
2017-09-09T04:00:00Z,BMO,58.826783776,-322,Market On Open,Filled,-18942.224375872,Liquidated 
2017-09-09T04:00:00Z,CM,70.4261694,389,Market On Open,Filled,27395.7798966,Liquidated 
2017-09-23T04:00:00Z,CM,71.818502864,-378,Market On Open,Filled,-27147.394082592, 
2017-09-23T04:00:00Z,BMO,59.420354176,313,Market On Open,Filled,18598.570857088, 
2017-09-29T04:00:00Z,BMO,59.903124768,-313,Market On Open,Filled,-18749.678052384,Liquidated 
2017-09-29T04:00:00Z,CM,71.84128793,378,Market On Open,Filled,27156.00683754,Liquidated 
2017-11-02T04:00:00Z,XLK,59.542298248,-383,Market On Open,Filled,-22804.700228984, 
2017-11-02T04:00:00Z,BCH,24.545722110712,933,Market On Open,Filled,22901.158729295, 
2017-11-03T04:00:00Z,XLK,59.882756116,383,Market On Open,Filled,22935.095592428,Liquidated 
2017-11-03T04:00:00Z,BCH,24.775721250124,-933,Market On Open,Filled,-23115.747926366,Liquidated 
2017-11-04T04:00:00Z,XLK,60.005699235,-382,Market On Open,Filled,-22922.17710777, 
2017-11-04T04:00:00Z,BCH,24.168630498421,944,Market On Open,Filled,22815.187190509, 
2017-12-01T05:00:00Z,CM,76.01905952,-365,Market On Open,Filled,-27746.9567248, 
2017-12-01T05:00:00Z,BMO,62.13182688,298,Market On Open,Filled,18515.28441024, 
2017-12-19T05:00:00Z,XLK,61.7026865,382,Market On Open,Filled,23570.426243,Liquidated 
2017-12-19T05:00:00Z,BCH,25.674322538989,-944,Market On Open,Filled,-24236.560476805,Liquidated 
